216	266	22	171.08
392	364	9	80.14
229	288	3	12.72
120	314	3	4.38
175	200	4	9.84
864	117	6	29.24
128	3453	3	24.83
174	416	4	19.14
248	184	6	24.97
3504	14	3	11.31
939	12	5	4.73
949	105	3	7.68
949	170	4	27.83
1242	12	5	7.68
1313	115	3	13.27
369	221	3	14.14
2177	12	4	10.35
1158	108	3	9.86
144	479	6	29.52
144	436	3	9.96
1825	124	11	106.44
279	184	4	15.64
137	2873	3	25.69
435	101	14	16.13
112	773	4	12.96
1888	1852	3	46.86
101	2064	6	22.01
172	627	9	67.76
123	126	23	35.06
193	277	9	51.14
119	1982	3	17.11
551	102	14	41.88
5589	12	3	17.34
815	14	5	5.8
117	318	11	37.39
141	509	13	86.27
214	902	4	30.48
3747	14	3	12.82
185	12	43	23.18
1392	168	3	21.54
107	2958	3	17.61
121	603	25	187.72
8	5861	3	28.67
5415	9	3	29.01
3606	14	4	20.93
2044	12	5	14.43
150	917	3	16.61
115	964	3	10.7
664	198	3	17.74
109	3338	3	19.62
232	116	14	37.01
875	1917	3	40.25
588	1752	3	36.3
1619	102	3	8.33
285	298	4	23.22
101	708	12	24.9
965	1745	3	40.02
1131	13	18	230.27
3204	114	3	21.27
107	216	8	6.01
411	112	3	3.92
526	118	9	38.83
1513	102	4	12.94
2451	109	8	68.11
8	5415	3	28.67
1007	101	4	4.02
315	125	3	5.13
262	112	7	11.23
2320	1383	4	63.64
326	123	3	5.07
1111	2691	3	45.18
110	101	130	7.6
120	973	5	26.28
1215	173	3	21.44
110	245	13	28.94
110	302	9	20.98
741	165	3	15.84
119	202	6	5.75
857	103	5	12.83
113	1579	3	14.16
1649	117	3	15.68
591	190	4	23.99
106	549	8	25.45
519	12	10	7.64
101	204	37	27.83
474	105	11	35.73
3949	128	4	39.18
113	6238	3	28.98
190	1410	4	34.3
975	9	3	10.34
2479	12	3	6.57
112	385	8	22.53
128	274	3	4.55
119	3841	3	23.79
274	1730	6	69.02
1201	102	3	6.13
765	272	5	43.13
128	2939	3	23.6
104	1219	5	21.18
142	101	76	48.35
110	1573	3	13.56
109	192	12	14.52
1025	102	6	17.94
282	1334	13	169.24
116	242	7	11.05
611	1118	3	32.49
466	121	3	6.94
193	2310	3	27.61
797	1866	3	39.37
780	111	18	118.29
168	225	3	6.2
12	308	34	56.21
375	13	3	15.17
126	727	10	63.05
12	107	543	693
347	129	3	6.39
2475	104	3	14.99
372	105	21	82.75
4947	12	3	12.96
1504	401	3	31.91
102	712	5	8.6
147	380	3	9.35
113	351	6	12.78
3699	105	3	19.85
276	128	3	4.64
353	12	13	6.04
1021	14	4	5.05
532	108	3	4.19
138	248	5	12.83
17	420	10	77.04
403	105	6	10.67
514	130	3	9.1
1060	1972	3	42.01
119	583	7	29.09
4350	12	3	12.96
553	120	3	8.11
2613	12	3	7.33
722	114	6	24.88
1989	102	3	9.71
224	1025	5	43.29
246	1325	3	25.91
309	285	3	15.95
6310	126	3	32.8
1906	101	3	5.71
312	138	3	7.38
233	118	16	48.08
119	433	5	13.69
217	444	7	47.97
2073	58	3	30.13
101	2847	6	31.04
109	1237	3	11
357	1160	4	40.56
175	739	3	17.15
104	186	19	27.44
202	983	3	21.18
961	8	3	9.82
2084	151	3	23.35
1676	4471	4	79.42
1069	103	3	6.56
3982	2727	3	56.54
12	151	47	5.9
135	1193	3	17.17
204	103	19	21.47
112	3093	3	19.29
419	12	16	16.99
943	106	3	8.16
347	115	4	6.42
12	6254	3	17.34
214	14	18	4.39
600	314	3	21.86
122	2919	3	22.24
101	1249	5	9.06
101	1129	6	11.92
138	214	26	136.63
122	290	4	7.16
122	227	9	20.69
147	365	8	39.31
113	398	4	6.93
2172	102	9	61.94
128	285	4	8.55
128	113	48	96.21
200	101	77	147.96
1351	182	3	23.06
2791	199	4	42.39
213	794	5	38.55
147	185	10	30.64
8	775	3	7.98
6410	109	3	27.88
1135	102	9	38.24
117	748	12	71.21
132	6492	3	34.22
479	117	11	48.37
153	215	4	8.07
181	106	29	66.78
116	508	4	10.16
1241	14	5	10.55
4571	1884	3	55.86
585	12	9	7.56
406	108	7	15.88
2442	12	5	16.99
2498	115	4	27.2
940	14	4	4.39
566	105	3	4.01
115	477	7	23.39
863	186	10	90.97
169	101	34	6.61
340	164	3	9.69
563	111	3	5.67
1404	136	5	36.73
2049	102	10	69.34
101	187	47	41.3
1733	223	4	38.39
106	463	10	31.52
5399	114	3	29.54
146	252	3	5.63
105	131	26	17.41
111	494	6	16.89
649	101	9	11.54
202	223	6	24.38
115	991	5	23.42
107	4962	3	22.6
189	2702	4	41.52
364	237	4	22.05
224	249	3	10.55
110	646	3	6.4
120	349	3	5.06
4992	248	3	38.02
2271	282	4	45.67
1822	103	5	23.14
278	110	9	18.9
498	106	4	6.7
1441	14	4	8.35
868	276	3	24.06
103	2034	4	17.97
477	8	5	12.11
912	4529	3	49.64
118	581	30	222.18
402	103	5	4.41
124	12	136	63.39
2338	12	5	16.99
1203	141	3	17.88
302	16	3	5.01
1997	108	3	13.94
102	355	13	23.06
601	3602	3	43.73
12	2298	4	10.35
969	4628	4	72.9
143	991	3	16.54
374	112	5	9.51
236	194	9	44.54
418	145	10	57.39
1604	102	5	19.35
188	292	3	10.65
4794	2927	4	86.61
260	377	3	16.52
117	160	19	32.27
471	101	22	47.71
1682	138	3	20.77
12	912	9	17.19
188	126	9	17.94
115	2068	3	16.84
4352	268	4	58.41
161	256	3	6.66
399	1741	4	46.34
190	3554	5	66.04
440	211	3	14.9
197	114	16	35.84
1109	114	3	11.76
