4544	111	3	6.68
230	535	3	7.77
955	109	11	17.01
1827	119	4	7.34
119	282	14	7.04
104	2633	7	18.89
139	695	5	9.37
103	1684	8	9.27
104	4657	4	10.79
6412	124	3	16.21
101	116	640	8.54
146	921	4	9.93
159	382	5	7.89
299	346	3	7.82
107	6520	3	9.01
2	3153	3	10.37
136	2983	3	11.66
104	699	13	7.68
135	1032	4	8.33
185	1147	3	10.27
187	962	5	21.21
1411	112	7	11.26
154	177	14	14.18
510	120	25	78.31
6217	112	3	11.07
12	2303	6	6.86
455	200	6	19.85
124	4628	3	11.85
111	319	28	28.03
130	462	8	10.96
275	58	3	8.22
105	431	17	7.63
550	187	4	10.13
111	144	78	19.72
585	173	5	14.06
241	510	5	19.12
713	103	21	27.66
1048	132	4	8.02
117	840	10	14.9
121	925	6	9.45
1762	162	4	21.51
2397	103	6	8.31
153	150	15	9.37
695	139	5	9.37
1127	132	4	9
604	115	10	7.3
103	4376	4	8.83
144	481	5	7.95
317	303	4	11.59
113	2629	5	11.02
1680	430	3	21.04
360	1059	3	16.9
116	1300	6	8
1106	130	7	20.7
300	135	9	9.98
2739	9	3	8.37
108	125	150	17.92
125	950	5	8.91
3934	3188	4	70.59
171	1053	4	13.57
476	262	3	8.42
157	393	7	18.94
2760	2758	5	86.01
138	805	4	10.87
393	157	7	18.94
1081	1989	3	28.21
291	159	7	10.45
1420	12	11	7.35
113	846	15	35.43
4659	104	4	10.79
430	583	3	14.11
1133	104	9	9.05
215	104	59	31.44
106	1950	6	7.45
115	153	60	19.29
108	2915	4	6.9
264	700	3	11.18
127	116	143	48.32
105	4124	3	8.51
170	142	15	10.3
415	166	4	6.81
108	3035	4	6.9
238	121	17	10.44
2069	2	3	6.89
1515	113	7	13.14
102	204	66	8.56
3005	2	3	8.91
104	5680	3	8.09
3240	3241	5	86.01
2922	109	6	20.93
2537	133	3	9.49
366	480	3	11.55
4052	116	3	7.74
3623	107	4	7.51
540	12	25	8.1
210	129	16	12.05
751	145	4	7.97
125	4592	3	12.42
299	1366	4	26.2
2795	12	6	6.86
6491	109	3	10.46
212	171	8	8.76
104	1800	9	18.4
856	125	10	28.39
261	539	4	14.52
4367	103	4	8.83
812	101	15	6.88
187	1988	3	13.94
