101	7170	11
2060	2198	3
1233	131	16
35641	1621	24
213	5158	14
172	9348	8
3667	4220	3
108	5852	7
618	9643	1
110	9623	9
14	331	24
102	9007	7
17663	9197	12
160	7966	6
2883	1299	8
21896	8555	0
14	1313	16
19492	6651	0
149	8740	0
1251	3677	0
573	3609	6
1925	3445	4
59	7922	14
124	3442	18
106	5552	1
313	5602	3
122	1279	2
7396	717	6
6036	614	22
1151	5720	6
37113	8417	8
103	9354	16
2791	4542	13
19988	1468	5
4014	8863	7
167	2468	9
103	4032	6
19323	1299	19
20212	7201	0
104	4074	26
10823	8886	19
101	934	4
115	8846	18
102	5034	2
14	7498	9
14385	1944	3
103	1697	1
14	7343	21
101	4202	14
146	8392	8
116	6535	12
7862	158	5
101	4495	18
12	3648	8
407	7963	18
103	1285	11
11276	1117	13
12	7078	8
7440	3892	0
33965	4669	8
119	8262	1
117	3789	25
483	6012	7
104	451	9
2082	559	14
187	3331	13
217	3625	14
101	5831	6
23727	8606	12
109	8153	6
9634	590	3
8491	9400	11
8037	7403	0
14	2667	9
1552	9215	8
25483	7525	5
103	1411	29
1213	3516	2
155	4120	22
14	4962	14
7309	2846	0
13913	3644	9
128	9889	4
109	2864	22
2754	4948	11
101	3777	17
101	6502	7
7278	6040	16
182	2026	7
118	3425	15
13943	1757	3
645	5532	12
631	568	2
14	9633	27
554	2261	11
101	5677	10
8460	1196	3
3074	9316	1
127	3381	0
36707	2369	27
101	2731	25
206	7737	6
655	163	18
14	3407	7
103	6731	8
10284	3563	33
59	6009	5
796	6877	7
1287	4804	5
104	8800	10
195	139	32
379	3565	1
733	2983	18
150	4476	19
314	6812	4
8459	1350	12
1649	5878	9
330	1331	12
1578	2420	5
18395	3147	6
12	1419	1
101	268	10
168	3813	21
323	5644	4
26649	2079	20
1240	645	1
19197	6964	8
37888	7379	12
1501	4330	25
13650	3751	4
107	892	1
14	9858	19
1115	7183	12
1794	6431	3
1122	9818	2
125	850	9
25690	2658	20
6587	6280	14
219	5153	1
12	131	23
1645	4935	19
19085	1738	5
12	3465	12
2258	438	3
15164	6853	19
102	2766	11
1297	7516	5
115	7594	22
433	9984	5
14	8038	17
10825	7297	9
398	9600	11
1157	5272	9
816	5988	3
26998	1272	10
214	2144	13
8479	3219	7
1195	543	15
7282	7042	13
122	8155	9
222	8744	11
138	2931	26
16077	4980	12
571	208	3
4044	3772	20
124	4478	22
59	4759	30
111	5721	3
39413	9171	17
1691	115	10
7647	5523	0
117	2604	18
146	7499	23
10768	5224	33
587	1554	10
6817	1554	7
9489	1163	13
2945	3241	9
131	9836	1
102	4448	23
1670	1488	5
4939	24	10
3688	1043	12
104	911	10
406	9369	15
5011	9933	14
367	3556	3
11977	74	1
3755	5874	9
39665	3140	5
107	4183	18
109	9329	7
19963	4444	8
106	1072	8
110	2457	10
38848	9731	11
102	7433	6
156	7127	2
116	9347	17
107	6040	4
101	6983	10
39511	4317	9
101	1572	5
105	4832	6
16523	3004	0
479	6725	7
106	5014	10
38748	6161	2
178	5978	4
2148	3703	5
1005	8264	7
303	8063	0
125	6070	12
2590	9596	4
30138	4452	6
33003	8422	10
8903	8876	5
108	3934	3
803	7727	17
243	6356	15
102	2735	4
35506	5607	1
1456	3366	24
110	5818	7
216	7273	11
14	1672	15
103	6829	5
182	4842	10
2051	5720	7
11537	4982	17
121	7958	12
104	3269	19
1374	9704	20
33808	537	4
111	6077	11
29544	1616	14
1027	7647	0
9	7831	22
108	4795	26
5062	5251	0
8	3790	11
198	2543	25
1814	5567	3
129	4683	0
2837	3145	11
106	221	2
117	5354	3
107	8851	1
492	6445	21
14287	9764	31
7790	2900	13
1115	9219	7
103	5388	4
6086	4458	6
170	5167	12
11487	4254	38
22080	6471	18
1964	6	33
181	4203	12
110	8118	14
103	3077	3
14	6884	16
597	5158	6
105	6216	5
20593	7582	0
103	3552	31
1185	5583	11
31297	5223	7
109	9170	11
28449	7387	20
172	2279	5
1219	2752	2
23829	8935	15
103	9325	9
209	1750	15
24326	4594	8
121	7839	10
2080	8235	10
6729	6422	1
292	744	2
389	2877	8
8	1986	2
5473	7119	12
103	393	14
9694	4645	7
103	1607	12
133	3139	6
14	2571	18
783	3963	15
464	8791	17
4776	3494	11
34139	8328	6
116	396	14
487	2204	8
6038	1094	6
770	6266	0
38351	9886	0
25879	1082	24
102	3183	2
1181	7007	20
4175	9625	10
117	5923	7
10107	2114	10
101	7084	18
1110	5901	27
315	8058	3
103	6848	11
216	7114	7
4437	1241	19
15582	4690	18
25803	464	1
212	8623	0
14	8512	16
14	4263	11
2369	1403	6
2311	2729	32
135	3439	2
14	1479	29
10013	4031	7
9951	2887	20
18881	5932	7
115	1774	6
12	3168	17
752	1145	29
144	3365	12
4076	6503	11
216	4488	8
14	3239	14
12	2227	34
465	8771	3
3463	3194	22
103	2607	9
160	3700	3
14	2700	16
3420	3343	2
281	5534	10
145	8224	2
116	2154	11
26641	8580	22
140	7033	7
315	2139	3
5754	6148	4
34701	8767	5
38701	6372	7
263	9590	0
562	970	8
108	4573	14
107	2751	3
11144	9650	5
6356	1091	9
