119	180	23	20.66
119	117	81	19.36
780	119	5	6.72
888	177	3	9.5
232	486	6	29.68
601	225	3	9.53
104	2571	6	15.82
637	260	3	11.3
102	116	346	8.69
6365	113	3	13.2
5351	12	3	7.18
107	520	15	12.64
180	1755	3	14.46
452	12	17	9.02
2976	232	3	21.29
119	2931	3	8.39
134	2138	3	10.07
429	308	3	10.76
1010	143	3	7.01
3665	112	3	6.76
143	1134	8	39.34
513	183	5	16.18
318	141	6	8.1
819	629	4	32.01
172	352	4	7.87
2571	652	6	72.93
137	292	28	114.74
108	1394	7	10.72
2886	120	3	8.38
105	6698	3	8.5
105	485	16	8.33
3282	105	4	6.88
969	190	17	153.19
137	126	37	20.92
410	106	19	10.83
1370	135	3	7.2
2080	9	3	7.12
2459	120	5	19.05
133	839	4	7.17
1885	105	6	7.21
129	2385	3	9.21
587	883	3	18.89
143	543	6	14.43
113	2499	4	10.43
4269	103	4	9.01
1067	157	3	9.46
103	2138	7	10.52
3387	110	4	12.3
1674	103	7	7.8
165	597	4	11.02
107	6003	3	10.15
486	1636	3	22.99
2926	3182	5	80.6
102	3798	4	7.7
104	5328	3	7.91
401	3899	3	28.71
1426	101	11	10.53
1250	130	4	9.7
147	117	34	12.67
115	153	46	38.65
146	1043	3	7.11
102	1390	10	10.37
12	6331	3	7.18
105	4128	4	11.33
12	16	111	50.01
1521	113	5	8.25
107	1161	7	7.13
138	572	5	8.61
104	5689	3	7.91
119	1247	5	10.94
144	1346	3	9.44
150	1453	3	9.35
2928	109	4	8.95
1043	148	3	7.29
115	6668	3	15.21
6481	156	3	23.58
2291	111	5	13.64
4762	109	3	7.8
1729	119	4	9.09
126	2574	3	9.98
1331	116	5	9.26
912	180	3	10.65
1052	158	3	9.05
102	1201	12	13.55
410	4081	4	44.58
6360	12	3	7.18
114	745	7	8.35
206	2471	4	27.26
276	186	4	6.83
1511	139	3	8.19
1643	1526	10	151.44
1394	138	3	7.47
4371	103	4	9.01
133	892	4	7.55
317	497	3	11.74
3026	181	5	43.46
103	4637	4	9.01
103	2547	6	8.55
796	529	3	17.76
592	161	5	15.11
623	145	5	11.37
1561	951	4	37.12
6019	103	3	6.75
1587	512	3	21.72
57	966	3	7.28
121	2091	4	11.58
270	319	6	23.53
106	2197	6	9.4
173	449	6	18.59
677	161	3	6.97
103	5408	3	6.75
1395	103	8	7.48
1946	126	4	12.14
964	110	12	31.87
3749	102	4	7.7
6272	103	3	6.75
1128	5766	3	40.12
4755	105	4	11.33
106	2281	6	12.12
1782	102	8	7.32
105	233	32	7.18
105	118	411	420.81
4425	102	4	7.7
199	136	16	23.86
1761	103	8	9.58
2551	102	7	13.48
110	2459	4	8.24
537	140	5	9.18
4011	109	3	7.8
810	160	3	8.18
1569	114	5	9.51
104	2382	7	18.46
1098	109	7	9.62
124	57	23	9.67
2176	137	3	10.22
110	2399	4	9.91
1660	139	3	8.79
150	127	22	7.07
119	366	12	18.09
150	227	12	23.29
117	3489	3	11.19
686	140	4	7.27
193	109	31	14.94
105	5156	3	8.5
714	101	18	7.23
1402	113	5	7.34
243	186	8	20.56
2976	486	3	26.86
114	1894	8	31.49
1396	2246	8	114.81
158	330	7	16.73
512	605	5	31.41
102	440	34	47.65
5521	144	3	21.91
112	3296	4	12.57
8	589	7	9.81
1202	139	3	6.73
670	127	15	55.62
105	742	11	7.66
257	387	4	14.01
136	140	22	9.94
110	101	634	14.56
786	909	3	20.63
4358	104	3	7.91
627	109	9	6.89
136	189	10	6.88
2472	111	7	30.15
116	796	7	11.63
103	3878	3	6.75
103	5842	3	6.75
188	325	4	8.67
256	686	3	11.93
240	5946	3	29.24
215	296	59	595.32
168	1070	5	22.16
325	256	3	7.7
486	2976	3	26.86
126	3703	3	13.59
400	131	6	7.3
243	795	7	40.92
1977	103	7	7.8
365	110	13	9.42
125	499	7	9.8
548	210	3	8.6
743	108	9	7.35
3308	106	5	14.43
144	1015	3	7.15
101	275	41	8.2
101	335	33	7.4
1263	150	3	8.85
721	118	6	7.67
115	1856	4	8.74
308	120	15	22.61
3583	108	5	18.01
1092	122	5	10.98
352	108	15	7.6
124	829	5	8.32
6550	106	3	8.66
4206	168	3	20.51
966	120	5	7.66
894	103	16	21.84
6434	105	3	8.5
864	564	3	18.35
216	147	8	9.15
393	157	5	10.35
543	573	3	15.6
5324	105	3	8.5
128	992	4	7.2
103	112	499	69.32
175	750	7	32.31
1210	112	12	52.08
3182	103	5	11.26
995	526	13	135.98
104	6199	3	7.91
3966	106	4	11.54
357	421	5	25.01
2010	362	3	21.95
421	677	4	23.31
132	794	6	14.32
12	4427	3	7.18
117	495	14	31.57
562	2984	3	28.66
103	2905	6	13.51
110	1442	11	46.94
484	995	12	120.67
103	4975	3	6.75
153	907	4	11.84
109	140	73	24.69
142	101	160	8.25
361	104	34	46.64
109	189	29	11.89
1533	3400	5	70.85
444	153	5	10.28
117	309	11	9.11
675	180	3	8.47
102	3289	5	9.62
117	113	164	77.57
360	826	4	23.1
250	12	35	10.72
245	354	3	7.83
656	415	3	15.41
129	2899	3	10.36
14	107	1829	16.15
236	140	8	7.82
566	180	7	30.03
761	109	11	16.76
622	169	4	10.88
1266	184	3	12.56
103	2716	5	6.64
107	1791	6	10.07
543	143	6	14.43
1571	110	5	7.67
3096	112	3	6.76
2374	102	6	6.77
1199	102	11	9.52
320	147	5	7.04
1127	115	5	7.91
145	1175	7	32.02
131	5709	3	19.11
320	315	4	15.26
108	2531	5	10.36
812	231	3	11.78
2363	103	6	8.55
305	124	8	6.63
182	3475	3	19.4
103	6677	3	6.75
3208	112	3	6.76
103	496	32	58.59
139	103	133	10.06
911	199	3	11.07
1929	122	3	7.34
305	173	11	38.7
285	957	4	22.99
134	1333	3	6.95
113	344	17	19.14
103	412	32	40.99
105	2213	6	9.11
482	239	3	9.1
135	663	7	17.93
238	652	5	23.46
177	229	5	6.78
402	4784	3	33.36
1206	188	3	12.52
102	795	15	8.1
177	185	7	9.81
114	1123	5	7.03
3410	115	3	8.81
315	122	8	7.12
6447	110	3	12.78
287	147	7	11.7
193	863	3	10.4
101	453	27	9.47
529	197	3	7.93
4709	102	4	7.7
1329	112	8	18.58
103	1181	11	12.58
1221	103	14	31.55
106	103	865	23.88
157	120	30	17.85
501	108	15	14.27
119	793	11	30.86
1396	148	3	9.03
5583	12	3	7.18
1508	116	11	55.62
137	799	5	11.7
468	148	8	22.28
293	119	10	7.59
16	523	4	7.91
209	505	3	8.31
531	2037	3	24.2
130	107	118	18.43
