434	139	8	53.06
253	175	8	55.57
470	14	6	5.3
691	107	7	29.18
101	230	16	18.76
157	449	5	32.95
121	315	9	42.06
121	266	3	6.3
123	4011	3	24.36
12	1889	5	13.89
568	103	3	4.6
228	117	6	13.72
2816	101	3	9.73
3788	106	3	17.71
108	1450	4	19.25
111	317	4	7.26
179	108	8	10.42
1894	12	3	5.14
1539	101	3	6.21
111	1483	9	62.95
107	5999	3	21.75
104	3330	4	23.2
437	14	7	6.93
108	3089	4	26.92
543	14	11	24.34
101	1251	4	9
107	1594	3	11.95
127	483	3	12.38
1674	14	4	9.77
372	1193	3	32.83
1538	128	3	20.05
124	5900	3	28.51
164	134	4	7.97
6246	101	3	15.53
2011	12	3	5.63
1405	101	3	5.82
140	468	4	21.41
118	1420	3	15.69
181	6132	3	37.69
105	233	25	95.57
1645	274	4	46.22
135	427	5	27.1
105	118	54	50.68
130	151	9	22.39
123	1493	3	17.74
149	126	5	6.2
204	111	11	25.73
103	2019	3	11.77
103	8148	3	24.38
155	1484	3	24.02
107	147	10	4.59
107	214	18	53.08
101	543	9	19.48
101	2336	4	14.6
229	127	3	6.57
109	1539	4	20.13
106	2708	4	23.61
885	127	3	16.19
103	3875	4	24.94
12	1325	7	20.25
227	303	5	37.56
286	396	3	23.69
101	991	4	7.4
101	947	5	10.92
114	1580	4	22.35
111	2291	4	23.55
2	4131	3	23.77
106	348	18	79.1
119	997	5	30.37
2623	7	7	75.75
216	213	7	47.7
255	303	3	20.87
114	236	9	26.3
104	4172	3	17.83
5914	101	3	15.53
163	461	6	45.08
101	3542	4	19.11
173	1383	3	26.16
131	742	3	15.86
103	4971	3	19.92
104	1143	6	25.73
159	207	3	10.71
387	135	3	12.53
16	170	4	9.73
4056	14	3	10.71
396	109	3	5.11
216	2704	3	33.57
603	104	3	4.96
118	1088	3	13.86
109	524	8	33.58
241	2749	3	34.75
4597	101	4	21.67
230	160	3	11.66
1197	101	6	17.87
114	413	8	33.32
624	130	3	14.63
1357	112	4	20.2
3205	112	3	19
137	103	16	4.78
411	117	4	12.46
1022	101	3	4.04
132	1119	4	27.65
115	656	3	10.03
126	2523	3	22.41
103	411	5	9.02
102	2036	3	10.08
239	719	7	73.86
2122	103	3	12.4
114	1121	5	27
157	893	4	30.52
610	108	4	12.19
177	115	21	74.87
1272	146	3	22.16
1976	14	3	6.59
855	14	5	8.04
101	2517	4	14.6
129	107	20	11.67
104	132	260	1346.87
346	111	3	4.44
109	1150	3	11.26
103	3996	5	35.26
3358	107	7	61.19
106	145	16	15.32
103	1228	7	34.2
6023	109	3	23.03
103	1168	3	8.68
1397	111	3	12.89
124	1008	4	23.69
106	312	35	200.52
112	1801	4	22.85
425	109	3	5.57
9	143	12	25.98
105	2226	4	21.21
144	460	9	66.01
120	367	5	19
129	251	3	8.17
2260	103	4	19.25
170	103	16	22.92
105	1096	3	9.43
819	338	3	30.04
305	112	5	11.85
12	149	35	11.5
165	136	7	22.2
12	208	16	7.58
109	545	6	21.91
12	251	33	74.05
118	1004	3	13.55
169	388	3	17.71
2193	14	3	7.17
137	212	3	7.76
112	1108	6	33.52
302	987	3	30.48
4126	14	3	12.21
1161	113	5	26.92
265	119	4	10.25
137	397	3	12.88
1152	139	3	19.91
128	114	19	22.29
103	207	26	78.79
152	2348	3	26.88
114	209	29	139.89
1108	14	8	25.15
101	1860	4	11.91
101	7920	3	19.95
195	128	17	87.9
1753	110	3	14.3
165	523	5	38
152	927	5	39.87
2413	12	3	6.85
2581	148	3	26.71
104	1248	3	9.12
1066	112	3	11.88
314	101	9	9.84
206	133	32	225.68
104	366	7	15.1
134	224	6	23.39
218	680	4	35.21
1287	103	6	27.07
188	158	5	20.54
104	538	4	7.87
588	12	9	14.96
2442	12	4	11.72
3501	12	3	9.67
317	188	4	26.05
122	213	4	7.72
1623	12	3	4.7
209	106	8	11.03
6284	104	3	20.03
106	517	5	13.8
3376	14	3	9.56
103	1481	5	21.89
104	2842	3	14.08
106	465	10	38.84
219	2679	4	47.93
120	234	10	39.01
727	107	6	23.46
105	131	52	107.24
527	102	5	8.94
105	277	5	7.07
111	345	3	4.44
478	139	4	21.57
1034	109	3	10.95
121	503	4	16.5
12	1681	6	18.13
124	2907	3	22.46
245	130	10	49.86
239	502	5	44.68
101	530	5	5.48
992	12	6	11.82
139	192	9	39.98
109	5418	3	23.03
716	124	3	13.92
275	130	3	8.96
4808	117	3	23.54
150	1750	3	24.85
112	192	6	8.09
1471	101	5	14.89
145	620	3	17.55
102	409	9	20.92
1198	12	4	5.99
155	301	3	13.87
431	284	3	24.3
108	390	7	22.09
103	8517	3	24.38
110	2046	3	14.88
135	1465	3	20.91
8	2578	3	20.74
740	14	7	13.69
103	2185	5	26.95
539	145	25	264.52
371	14	9	9.67
1202	104	5	19.99
488	101	11	25.6
102	156	14	4.91
150	1900	4	36.7
103	966	6	23.54
155	556	4	26.32
12	4532	3	11.15
103	914	7	29.18
116	6139	3	25.71
677	115	3	10.21
5926	105	3	21.41
103	1018	3	7.78
109	4239	3	20.82
425	668	3	30.33
112	1153	4	18.69
351	106	4	6.07
870	12	5	6.93
133	156	5	9.42
1576	101	4	10.58
103	1676	6	31.06
124	420	4	16.04
138	684	3	16.82
12	5242	3	13.27
208	2945	3	33.22
3591	112	3	20.23
2874	101	3	9.73
773	14	4	4.42
912	111	3	10.25
135	339	7	38.95
316	175	8	60.57
104	621	7	23.08
136	220	4	12.63
1399	112	3	13.69
410	112	10	44.02
101	1225	4	8.56
2156	12	4	10.74
577	450	3	29.59
