156	4670	1
181	7714	4
101	673	8
3675	4293	15
120	5772	28
2338	6376	26
110	6303	21
12	8389	23
128	1605	9
1232	678	0
8397	7760	2
1349	7934	11
876	2819	5
159	6352	4
157	2899	0
221	5734	25
38546	7996	26
150	7295	0
953	976	22
104	8717	4
112	636	2
14201	7045	10
138	7221	14
13612	115	15
105	4138	19
164	8295	5
103	6404	26
15849	2653	15
270	617	14
103	7656	4
22102	1401	4
4074	1509	5
118	930	16
12	7342	1
108	2780	2
36419	9306	8
101	7841	13
1310	4430	27
111	3483	5
114	7049	20
4206	8077	13
541	7536	13
36990	8203	13
109	9139	4
3564	193	29
369	8703	6
14	1996	12
32739	3084	25
131	1093	22
24653	6897	17
143	2250	3
162	6106	0
2087	5654	8
31034	5254	13
3543	815	25
101	7429	7
105	1803	19
510	3950	1
6601	3334	0
1216	8902	20
236	2922	23
133	3306	5
3648	549	21
104	6568	16
1262	1682	1
158	671	25
25328	1255	21
230	4382	4
131	4166	10
164	815	30
4124	1368	2
4648	3124	13
108	5723	5
115	6216	12
1415	260	6
1342	1576	10
157	3098	0
103	1697	1
103	7180	12
33057	2030	16
14	8589	21
3874	1965	12
1588	8038	32
116	8108	18
6191	2919	9
143	2251	23
1208	7103	1
1482	23	7
31791	9107	23
5492	223	16
12	2377	21
556	9012	24
361	1024	0
443	2517	2
36748	1728	10
335	3541	10
353	1750	18
150	6966	0
169	4708	9
3478	6919	16
37518	2060	36
102	972	5
648	741	11
1311	2369	4
5256	3597	21
109	9466	4
2	5954	8
14	133	12
114	70	7
16	9369	14
164	1127	10
418	716	17
103	5710	3
12	9994	1
12	1668	14
101	7718	15
328	9524	5
4622	5450	13
169	2474	14
2352	4025	14
20880	8702	12
107	2517	22
1025	3379	16
14	8103	21
148	9152	8
106	3134	4
136	7832	15
117	5514	27
10850	9560	10
5665	4936	19
121	6406	34
152	6485	22
132	1126	2
123	4788	0
12832	1441	12
3168	4188	5
828	1565	17
12	6313	7
173	9812	1
2	1985	16
265	733	30
636	8203	10
4733	5451	17
12803	6169	14
782	6268	37
4293	8395	8
101	5613	6
4262	2177	1
1599	1639	12
108	117	21
10560	8355	2
416	6566	0
107	9604	35
12996	877	9
101	360	12
12945	3518	36
106	7227	10
12	4843	8
105	9838	4
1429	6526	17
19254	3649	7
3107	4835	1
1826	333	7
2675	4690	12
117	2400	18
106	5887	19
286	5748	15
28347	2675	17
1771	8018	23
38553	5679	6
247	9817	11
389	1631	20
22751	7956	0
158	7959	14
719	1024	29
14	2156	25
213	1635	2
10463	1565	13
14	9448	13
124	7189	2
199	1112	36
333	1616	25
35597	6564	15
167	3840	9
7273	760	6
35213	8837	10
107	316	3
114	3360	6
128	6382	22
106	7156	28
5656	9727	6
14	3839	40
25456	1097	17
