541	12	3	10.98
103	257	6	15.51
348	234	3	28.39
136	148	16	144.91
116	256	3	11.8
130	116	4	8.56
154	372	3	21.64
440	136	3	23.4
114	115	6	13.12
105	116	13	8.89
343	109	3	9.07
193	108	4	8.06
188	157	10	88.79
109	101	33	7.8
104	589	3	8.9
109	246	4	11.61
299	289	4	45.51
234	311	3	28.39
290	427	3	30.62
495	104	3	8.9
12	565	3	10.98
261	236	5	47.13
106	301	3	7.49
162	590	3	25.57
335	101	4	8.25
405	474	3	35.12
304	12	4	10.01
105	332	4	8.72
245	129	4	23.88
378	12	3	6.83
153	104	8	6.69
9	353	4	20.34
118	104	20	31.1
320	125	3	17.64
308	338	5	60.91
116	114	7	17.22
105	153	8	8.91
330	280	3	26.17
159	107	5	8.24
176	109	4	6.66
131	106	6	7.32
12	591	3	10.98
106	347	4	13.65
317	264	4	45.51
289	299	4	45.51
123	189	4	17.28
265	201	4	30.54
101	311	5	10.32
101	161	10	11.67
145	132	3	7.46
112	198	3	7.65
390	105	4	13.31
142	362	4	32.52
550	107	3	15.4
12	289	5	18.36
169	102	11	17.57
155	146	3	10.39
188	336	3	20.7
145	117	5	15.89
299	160	3	20.14
101	156	13	20.72
101	326	4	8.25
202	500	3	28.16
106	222	4	9.51
112	437	4	23.71
112	540	3	17.71
12	438	3	10.98
12	542	3	10.98
125	168	4	15.55
107	245	4	13.26
236	348	5	52.53
245	494	3	31.3
168	125	4	15.55
105	569	3	9.97
189	115	4	13.89
110	394	3	12.79
139	104	17	51.48
406	103	4	10.31
111	104	23	15.55
136	135	16	132.36
116	129	4	8.56
236	305	5	52.53
299	245	4	42.88
101	261	6	12.4
353	222	4	40.95
429	101	4	8.25
12	378	3	6.83
295	104	5	14.88
104	148	16	48.38
123	115	5	12.33
233	149	3	14.74
118	199	3	9.47
110	127	6	12.42
591	187	3	28.16
135	111	16	83.96
189	292	3	20.7
221	8	3	10.27
312	299	3	35.12
125	312	3	22.09
160	292	3	17.93
157	336	5	41.81
103	442	3	7.72
245	101	6	12.4
397	105	4	13.31
105	12	41	13.09
271	160	3	16.38
122	113	25	166.75
129	299	3	18.93
114	262	4	20.03
103	479	3	7.72
103	122	25	66.23
103	172	8	7.98
257	113	4	16.65
125	151	3	8.07
125	253	3	13.92
172	103	8	7.98
106	280	3	7.49
501	103	3	7.72
352	102	4	8.53
540	437	3	35.12
484	12	3	10.98
197	114	5	21.06
292	125	3	15.46
353	347	4	45.51
299	320	3	30.62
248	105	5	9.12
120	114	9	36.85
460	103	3	7.72
