191	281	16
104	736	1
847	380	2
1437	439	5
369	9	1
12	544	17
110	732	9
12	355	2
2985	294	3
129	783	4
105	200	4
636	263	14
157	400	3
1291	422	3
500	631	13
745	718	0
14	299	3
101	547	3
326	687	19
272	544	19
1540	208	6
2228	602	3
153	255	0
102	745	1
1780	723	0
339	288	39
104	133	4
2858	203	3
2138	657	11
267	86	10
14	270	4
101	293	12
888	747	5
1671	262	9
2495	761	24
14	484	8
283	183	1
104	14	7
109	8	4
14	304	18
101	255	18
3622	768	3
144	628	4
513	189	2
103	594	19
1538	391	0
12	613	34
1685	172	3
16	345	8
3025	709	8
206	353	1
1711	186	11
3201	467	5
287	293	11
12	372	18
2443	229	7
752	448	3
343	532	8
14	511	25
103	313	18
134	740	7
1263	130	0
105	154	8
1168	43	0
102	445	2
202	153	6
101	473	4
498	450	4
14	598	6
197	592	1
576	44	3
319	37	3
358	260	6
14	123	10
102	628	6
1960	46	20
103	189	1
2195	702	4
145	140	1
2538	731	10
516	792	3
102	70	1
14	585	13
104	554	4
703	310	3
3672	762	2
2101	461	4
414	632	7
172	80	3
406	790	13
14	674	21
414	191	7
201	160	16
2024	129	4
3533	205	15
562	801	23
14	267	10
111	698	6
989	300	2
102	736	14
167	42	12
101	265	4
1155	87	3
9	669	7
2047	112	11
399	581	6
1633	80	6
102	486	1
441	654	4
159	571	8
420	174	20
3570	739	5
101	587	3
902	698	12
3376	42	13
149	533	4
165	792	7
102	80	5
14	381	21
1502	344	0
453	30	11
2521	674	15
759	459	10
103	348	7
2412	366	11
175	258	4
892	567	12
249	749	2
309	573	10
3584	473	16
221	341	7
119	618	8
1064	97	7
1080	44	5
191	481	2
101	699	10
14	308	8
104	537	7
105	219	14
1037	218	17
103	688	4
129	62	18
101	731	17
13	287	9
14	91	3
1766	685	5
126	702	0
106	37	16
108	490	16
14	210	7
119	194	1
2796	36	7
14	476	3
123	13	2
307	490	7
124	773	2
101	724	3
116	145	1
183	187	2
329	720	2
566	22	20
106	737	3
120	546	8
14	222	6
350	634	7
14	314	14
166	564	10
107	4	3
114	186	1
101	630	6
3517	537	10
288	716	7
101	220	8
9	554	21
211	139	0
105	281	18
110	623	1
138	366	10
103	215	6
101	208	9
611	770	5
3174	502	7
1338	175	0
112	595	0
1464	274	2
3280	187	1
109	116	7
263	468	12
156	689	11
229	794	7
927	251	7
817	66	10
109	120	6
108	241	3
104	335	3
108	566	3
1454	313	0
818	492	5
104	646	7
105	738	1
3438	702	3
400	680	4
105	613	3
103	365	3
146	554	15
522	808	2
551	776	17
12	745	7
926	215	8
103	748	14
2107	638	5
14	685	7
2049	596	6
3400	801	13
171	334	0
214	33	1
102	655	7
212	383	0
13	63	2
830	747	3
108	770	11
440	120	7
101	94	4
14	379	8
985	26	5
2062	467	6
339	552	1
405	621	2
715	583	0
1865	359	8
1353	422	5
3379	814	10
126	177	2
14	147	1
112	571	0
103	408	4
783	307	2
256	466	0
105	209	18
259	730	0
2834	253	20
127	253	22
2423	66	11
