1341	8480	5
104	1548	31
380	4110	3
12	5923	14
104	9831	12
107	5369	23
8151	2421	1
15087	90	7
272	3626	3
157	3410	2
101	6156	5
7678	9410	14
2493	9467	6
14	9966	9
2240	4610	1
14	8480	11
38393	1118	3
102	396	7
44927	8191	8
17187	8589	15
16729	8867	12
30037	3258	4
169	1390	1
27584	1369	9
14	4742	6
1424	4281	19
33810	555	11
27744	429	11
733	3706	37
6845	5232	1
14	9832	31
14	1539	12
101	2495	32
12	3336	21
500	2808	24
12	6831	3
112	193	5
116	2883	25
1353	6362	6
22816	6747	27
101	5668	2
110	9567	5
21816	8275	8
14	6433	21
13233	3839	13
1036	1802	12
310	7847	0
12	934	4
12546	9602	10
2248	7637	15
245	7284	13
17125	1339	0
2701	3503	16
42682	3430	15
14	8258	21
26507	8032	1
17150	2411	19
25877	1913	11
109	1886	8
13666	1504	8
431	6902	7
565	4332	6
126	8284	20
780	9711	2
103	9355	4
120	2143	11
102	267	5
12492	4874	6
26076	3605	7
25299	5199	6
102	1733	7
763	6635	21
2174	6060	17
8095	4575	10
40001	8610	17
1012	9368	17
2826	9120	24
107	8153	6
107	2459	12
14573	3700	18
110	2034	2
105	1485	7
1651	5964	30
8	885	9
5111	7783	9
243	729	9
102	2732	22
104	5157	9
963	9447	3
462	9336	18
10429	7120	18
6851	1139	20
695	2992	14
42573	9981	7
16404	2588	19
2408	1123	11
1309	6540	6
654	6223	9
11295	9308	3
110	5424	12
2228	9454	8
14	9284	7
14	2341	15
5113	8845	6
228	6546	3
30175	1378	6
12	5677	10
553	1012	14
4291	3498	0
201	2676	0
5098	2991	2
22290	5756	0
385	6488	2
2370	5064	8
21478	4774	0
14	8651	19
110	307	16
13889	8475	12
8717	7437	14
470	7105	1
14	4843	8
14	6602	13
5	627	7
146	8585	2
537	6482	4
12	4900	8
257	694	11
128	3437	4
12	4801	20
19903	8870	9
242	5788	19
11911	2421	12
4744	3882	4
105	8708	12
39863	7789	4
429	5821	22
101	716	6
9614	8104	1
129	6788	8
2630	267	26
21172	4541	0
3727	8847	9
38301	6500	10
12	7727	7
14	9858	19
29899	8452	8
4573	9363	27
12	7563	13
5770	5607	0
573	8274	14
102	3918	12
595	7042	14
5779	5858	0
9021	7012	0
189	9240	8
1251	10000	6
229	9234	14
12	559	2
850	5647	22
7991	3715	2
101	2766	11
1116	1935	17
101	6061	4
143	6315	11
14	5538	8
193	7493	6
14	5191	20
20976	4281	0
7064	1671	13
10280	5469	5
1075	1220	27
112	8390	12
6488	5115	3
12	2895	17
12	2730	13
12	6950	5
45398	2593	10
9	6934	12
14	9732	5
14	2688	17
318	1023	2
188	852	7
235	8420	12
14	8393	22
40461	3312	19
1729	3571	12
101	8142	6
349	4839	1
33680	7770	14
37766	2948	3
850	9386	10
26596	6849	2
580	6446	18
12	7104	8
108	8689	0
44269	744	6
14	1224	13
3013	6347	12
16707	1698	3
411	4021	12
2730	2452	2
21107	3655	5
14	1325	17
1170	6198	14
101	8327	12
33661	5568	20
24617	2105	7
5854	5492	19
111	6941	2
44127	2083	6
10199	8544	7
1910	1959	9
12696	7075	25
808	5918	13
1740	8840	14
101	4674	11
101	3873	4
108	9014	0
195	9800	5
432	8943	10
9269	8477	8
603	6217	24
41756	8138	12
28477	5884	10
5341	8632	3
606	7660	16
42984	4866	7
121	7529	35
6381	8329	7
115	9000	1
138	6804	7
14	6344	8
4297	3487	0
28652	168	10
14	1451	7
39349	7362	10
7167	9997	10
10873	188	7
360	2183	0
12	8292	8
116	9775	4
3775	8741	18
103	355	2
105	7695	1
17518	3109	17
372	5469	3
1856	7667	11
527	1195	6
793	31	2
7656	3991	7
1037	227	7
104	5450	2
133	8291	4
14	1103	15
258	6098	0
147	708	16
106	5142	18
5371	141	12
5240	2342	1
101	5387	11
134	3763	0
3436	9409	18
12	2637	20
256	2752	15
15719	363	0
103	932	2
42323	299	17
6353	6990	13
101	3020	14
101	7566	4
1713	4124	6
4707	952	1
4382	3471	12
6273	5763	3
493	7247	2
1579	6089	14
118	9959	8
621	3300	1
101	1993	5
1285	4203	2
1238	7816	17
103	4802	6
4882	3753	13
2784	7999	9
12948	4385	7
12	2278	14
123	4792	1
15851	3921	4
1122	5630	9
9179	927	15
188	8753	16
14889	3307	11
3072	594	10
124	9817	11
37369	7484	3
102	2542	17
123	1886	1
27905	7735	9
4343	7046	0
3759	3782	27
4626	3331	1
4807	3998	2
8432	1684	0
2706	2762	2
3141	6765	3
452	868	6
14	8933	14
1097	3772	4
1717	351	13
19915	1463	20
113	8233	9
305	5059	7
101	5827	27
29076	3651	7
431	7227	20
6735	7464	18
5291	5041	10
32362	4095	12
2250	7548	12
118	8169	6
14	8356	24
969	9916	9
1742	1993	11
8263	832	0
23639	7025	0
106	4915	8
12642	581	13
104	6927	11
13218	7192	6
3311	3799	22
33288	4987	1
22319	5796	0
43760	7943	30
59	3332	23
29060	7866	4
12356	6927	13
226	5213	1
8410	1537	8
3734	7016	25
281	1525	13
1273	9186	19
5206	9671	4
30893	7553	3
1173	9139	9
12817	6800	1
101	3340	8
116	7877	2
210	2567	6
12	9315	14
797	8378	6
5943	4272	1
15722	7155	7
14	7467	6
302	6839	6
29292	2436	16
659	3007	11
3446	5169	0
23584	6998	12
1960	2923	7
103	295	10
262	9590	0
1646	5906	9
108	8854	0
314	7706	19
104	3079	13
899	3099	1
13	2720	9
9	6963	11
3978	5675	2
142	1417	5
21271	4663	0
11512	1721	11
14	9134	22
5270	6623	3
2507	2610	4
43115	3467	11
59	1227	20
1635	2732	12
14	6285	20
115	8840	1
800	7432	12
12	8041	10
112	5259	4
19327	2812	0
102	9987	1
10051	9112	8
42712	1187	3
14552	9709	2
140	7477	5
4147	4553	17
9773	2754	6
523	9952	4
479	2350	1
4640	5186	6
102	5155	26
560	5838	24
132	1888	13
229	2961	1
127	376	2
104	4103	8
1547	6463	5
5646	2863	10
14	5952	15
1452	5858	13
29635	1665	17
120	8319	8
4607	2039	12
723	8143	6
116	5294	11
45609	7673	6
1026	7442	13
128	4559	4
25523	4887	1
2552	5025	13
14	4815	27
101	7215	16
103	1483	20
5219	146	18
160	7775	4
1357	748	15
12	204	17
118	5380	25
4538	405	17
12	7242	2
12	2568	8
16252	721	0
27569	9572	18
169	3491	7
33949	2303	15
185	7126	8
38248	9380	13
14455	3073	24
274	927	7
163	7463	16
8244	711	0
14	4907	19
40829	930	13
103	7051	19
101	1092	9
6193	5422	14
119	4492	1
955	4186	18
145	5480	0
172	1115	3
12394	575	3
342	2604	6
15518	4679	3
34713	8537	16
2839	9242	14
33294	2585	14
16606	2560	24
11523	3986	2
14	3790	10
104	5354	2
28740	1229	15
35580	7931	6
7017	5558	21
116	7917	16
38314	1312	13
101	3045	8
6503	8314	6
28375	3130	15
8	8570	11
14	4033	26
12	4075	6
421	6022	19
2	9495	15
279	1361	6
242	3192	3
37023	3719	14
390	1149	3
106	4307	10
101	4844	15
288	3294	5
7330	6421	2
38588	7715	7
12	9255	6
35469	870	2
127	3901	11
27676	157	5
164	1349	1
2193	4898	6
102	2575	7
12	9666	26
26446	8281	8
28513	119	4
191	3639	7
102	4423	22
2175	5590	1
44246	1911	22
267	4010	5
17806	7033	12
7246	397	6
243	8629	1
131	7884	8
36530	3260	8
1541	2020	14
14	7535	14
27035	9210	2
102	9866	7
881	2392	14
319	5237	15
252	7886	14
44067	5223	7
9	1149	8
13	7887	15
462	3984	1
14	9705	18
1786	3754	35
1006	1029	8
285	824	22
43930	6009	19
106	3958	17
104	7170	3
14	180	46
14	3298	18
32076	6521	1
105	1391	2
133	5155	25
2319	7010	16
8	2294	9
14	3621	18
105	7392	19
105	4111	20
14	2062	12
2832	7110	15
154	1470	3
2209	6728	6
9722	8143	1
10217	1293	7
444	9041	8
241	5973	0
21654	3184	19
11859	7632	2
864	1139	14
842	6545	5
1817	2761	8
37885	120	4
347	4487	14
1149	2685	4
128	7949	15
33809	9965	7
27823	3348	24
32457	4854	9
38826	1573	17
12	1644	12
18270	2691	20
11	1000	5
12	4555	26
57	3332	31
8660	3488	0
17437	8155	26
215	5228	1
9698	8822	7
13723	6290	11
1188	8516	8
39262	8129	25
3086	4877	7
112	6248	2
25480	9506	0
847	9742	11
1424	1279	19
20541	2425	34
167	7439	10
213	2212	8
14	7850	11
10813	2879	16
4316	1508	12
28859	5586	11
826	2737	17
143	5802	10
294	4652	0
356	7579	2
102	904	13
1003	7205	2
102	7915	2
187	8374	5
2197	7139	9
956	4852	1
418	7594	0
138	8568	14
42750	8056	8
21206	4591	0
118	8545	3
1783	4362	6
194	8994	6
104	6286	6
39149	7978	3
505	4679	1
1241	42	14
9	8147	20
37604	7747	18
22468	7605	5
1858	1438	1
136	3344	13
105	5601	15
34966	3927	20
101	9067	15
106	9882	8
42054	1780	14
24640	3678	4
27685	8138	1
16319	2627	16
8022	5648	2
518	8563	8
2862	724	0
22922	6396	9
14	9486	11
25980	3384	3
14	846	6
3909	322	20
2851	7203	12
1648	9349	19
2587	6679	6
102	2793	10
111	1590	4
7936	6565	19
5314	4389	1
23924	2576	8
4904	1651	2
119	7535	7
903	9513	9
57	1572	14
39431	1303	13
2840	6100	4
19415	232	12
863	9371	2
433	1382	20
434	8161	5
8	8604	6
12	9544	13
5142	1905	6
121	8607	29
116	9421	3
107	1785	7
32636	2165	7
2734	5232	7
14	4782	20
5505	8408	24
32565	9782	13
3010	864	17
12	8482	5
116	7242	11
104	4198	7
1182	1190	20
1352	5460	5
213	1761	1
410	931	37
14	5828	28
162	2047	0
122	344	4
29064	2014	5
14	1130	8
396	2617	32
26019	9077	12
16484	316	7
6058	3775	2
33341	9940	5
19239	2783	0
8939	4924	27
7229	6834	10
14	8590	15
894	1899	2
270	2885	9
791	7410	12
7779	1100	8
1728	3729	5
877	3619	1
246	4978	0
540	1936	0
172	2929	1
5318	8336	14
1489	7786	1
107	6130	13
12037	7222	6
12	3936	5
666	3060	5
101	6470	9
14	2757	13
42598	2149	3
24320	7311	0
169	6918	20
130	7752	24
17	1193	28
14	1	20
5270	5905	9
159	7901	15
911	3604	4
152	8151	3
27879	1726	11
38271	9496	8
8968	9193	5
33808	5169	7
9	6257	12
6135	4652	2
123	9311	7
102	421	1
31590	2255	8
29692	6635	22
101	7247	11
12765	6380	21
104	7533	8
3731	4559	1
11818	2272	17
14	1557	39
4461	5139	21
12	7211	13
4907	5049	5
178	8272	2
1860	5942	14
101	3687	9
176	9146	18
4177	1567	7
14	4861	12
971	6822	15
133	7294	13
14	5334	18
504	7037	2
7435	6153	11
16623	946	0
102	5712	27
12	8157	11
137	6921	3
175	4715	3
344	3793	6
123	4644	18
3692	3728	23
12	9470	9
109	6501	5
136	8270	7
14	304	18
232	9960	2
11566	7882	6
105	1463	25
23588	1553	8
125	5346	15
1887	615	0
308	2483	16
4324	5760	0
121	1064	2
170	8156	0
9288	5221	18
8825	5340	0
183	9979	9
102	2997	2
146	4379	23
112	798	5
18282	1724	30
14	1081	16
12015	8470	17
151	8972	9
221	7897	21
179	984	17
2675	1580	1
14	530	14
23806	9298	17
191	198	15
12379	1361	18
146	8117	6
102	7763	2
334	4429	1
276	5414	2
1145	6015	28
9976	9907	4
14	9747	21
17855	6401	9
101	505	10
1058	81	0
26148	9161	17
12900	1165	6
34832	9771	6
12	8211	3
27467	8690	6
220	150	1
32997	2762	5
4330	6424	0
5758	5093	0
267	9983	8
281	6087	10
264	266	2
14	6938	29
181	626	3
14	1948	14
14	880	16
105	476	5
151	9285	9
27237	2927	2
968	1191	1
25275	9556	0
12	4822	4
41458	2932	5
105	1107	17
16523	5572	2
14	8538	21
20358	3387	0
8	4738	11
757	3340	24
39459	9374	9
819	8118	1
36319	3621	17
343	9207	1
9866	3958	26
39771	5938	8
107	3630	4
104	3415	4
281	7535	9
14	2032	20
6512	2067	10
195	2867	8
45539	9351	17
1070	7317	1
23427	6798	0
846	1281	26
106	4199	11
2934	4327	6
154	4360	10
210	9553	7
128	4049	14
141	7413	7
110	8839	3
18036	1611	0
3719	2582	11
6399	8272	9
123	4012	5
1990	8620	17
224	8819	7
15645	9887	16
109	5252	6
1588	1095	5
1485	625	8
240	7250	0
112	4152	3
137	7950	5
12	8476	19
112	2709	14
201	2924	0
3960	2743	21
323	8692	5
101	5365	6
42290	4751	24
153	5221	14
22331	8496	18
102	3445	4
681	2808	33
994	267	20
5028	8795	7
236	276	0
150	4745	15
104	7955	28
28550	6605	14
19089	9288	7
101	1757	4
5813	7077	0
186	9067	11
14	6577	7
14	7523	32
885	3264	2
721	9105	8
3279	6178	4
31782	3724	22
8	646	17
3457	6245	20
349	8182	11
101	4831	12
1280	9542	3
4688	3810	17
2621	5034	4
42473	7593	12
16601	6506	45
226	4160	2
519	1761	7
10502	166	2
41484	561	5
163	5721	12
25461	9687	1
2409	4144	21
32413	3929	25
8747	1301	2
179	6845	12
430	9833	5
140	8738	2
42460	43	11
5936	309	17
218	9082	12
37233	7511	15
101	6876	21
105	3133	6
13160	3014	3
2788	3686	7
59	8157	8
235	5137	4
219	1873	11
11951	9379	9
498	4271	6
43851	6267	5
12	9713	25
220	4016	2
189	5798	5
6232	2309	22
1120	8206	11
40315	7665	6
13463	6039	5
7813	9516	13
8	9959	17
4954	2011	16
585	7940	1
108	8750	0
14597	7027	9
1255	9820	0
8	9064	5
2020	5150	4
25733	6932	5
11874	2170	15
349	1561	1
16640	977	0
4224	161	0
57	9203	10
108	8425	0
179	980	16
14	2367	10
2707	4507	4
174	2336	0
14	7832	28
6864	3391	5
120	776	17
101	8607	12
3405	1637	25
45228	7471	18
4071	8284	21
128	9915	1
179	7414	9
14	8244	10
8	9669	13
7495	4217	11
45533	9802	11
22370	9214	14
2146	2637	15
19268	422	16
11501	4182	7
2557	4148	2
43677	4046	4
103	4912	10
101	6845	26
14	2366	30
143	6484	18
105	6686	3
1036	5909	7
14	6487	10
28305	8500	8
24621	8129	0
763	5270	5
12	8022	8
104	8957	13
8082	131	4
31601	8599	26
21088	4332	0
10875	8499	5
990	789	3
10804	5842	4
2650	1075	1
8088	3996	6
1568	2086	2
14181	5348	8
493	9680	10
550	6941	5
4350	7553	0
6832	3722	8
12	9459	28
12	4826	5
1180	961	13
30100	3452	3
102	8593	11
2530	6310	7
1487	4372	1
23048	6599	0
4260	6708	4
1090	2874	1
7894	9770	0
2066	9989	14
2629	7191	2
38076	6749	12
8	7150	25
1022	7572	3
430	299	13
569	2977	4
139	366	4
2561	6146	18
2051	4978	8
5883	669	5
3121	3353	1
14741	2176	4
17842	1529	0
849	1937	7
41140	9765	19
113	6582	1
510	7516	6
217	5790	12
3053	7961	12
115	4477	20
212	4922	5
3772	5642	22
12	9175	18
12	4656	9
31771	6045	2
105	6480	5
6682	4693	3
101	2175	20
101	8152	2
42817	8750	6
2562	259	9
116	4466	7
247	6023	1
2528	9321	7
935	9801	10
105	7482	13
1449	6608	4
2	2120	17
16297	760	0
899	5575	8
1237	307	18
12	9375	6
45068	9217	5
160	1761	19
6667	6762	7
479	7998	7
102	2295	5
3679	2531	4
33888	1205	13
8	8517	9
33281	3406	11
1948	7160	1
9854	7085	5
33387	5853	3
2	4865	20
114	3352	3
175	1452	14
123	2281	4
40685	6705	11
14	9704	41
3204	68	2
12	7546	16
112	8369	7
104	8401	21
4534	7296	9
22965	3061	1
102	2161	19
207	1089	13
4983	7637	7
2	8573	40
14	8637	12
2611	6576	5
3007	9108	11
1498	4232	20
2996	8607	19
23224	6875	5
9	5092	8
18148	1665	0
101	1802	32
10623	5817	7
7911	9666	31
431	3403	20
14	919	9
14	6458	4
41382	6061	2
44239	339	3
1980	8349	6
102	3543	1
3950	5527	8
38106	271	28
2299	6545	8
12	5117	7
12	3742	8
155	8492	13
2412	5395	3
481	5001	6
105	3030	3
108	8521	0
104	9939	13
43533	2926	6
813	6819	5
112	3100	21
32079	3498	18
14368	9054	34
181	9140	5
14	7545	10
255	9533	3
3936	5253	2
136	271	3
35975	2491	2
120	7073	22
5705	3433	0
12	6591	8
862	6640	7
304	3286	0
1577	8757	5
12	9554	8
103	6802	7
106	9993	11
108	8035	0
14	1719	13
108	9102	0
7937	277	11
105	7862	21
14	4341	7
473	317	7
28055	3350	5
7594	8189	6
14	825	13
14	7942	37
12	787	17
17370	1437	0
4807	6542	4
4449	2436	4
147	4937	35
8	8905	17
151	3335	20
8	2150	27
438	3483	3
45232	8733	10
145	5232	0
3073	5554	33
125	9062	3
687	9908	6
111	8008	8
13173	5601	18
12	5591	13
32569	6195	1
12	5170	17
1343	4569	13
152	266	3
16193	7590	5
7224	2108	1
706	2011	1
113	1880	2
34089	3661	1
105	7280	1
102	1206	6
2	4590	6
40849	3709	5
12	3387	22
5692	8943	7
105	2454	1
3030	5346	13
108	9415	0
134	3595	0
136	4455	3
123	4516	11
33369	9433	2
961	3835	7
12	7261	18
668	3111	13
2358	8436	12
40211	117	5
5048	2476	2
15186	3352	14
297	8044	5
14107	6541	5
138	3075	3
9124	4064	13
59	7926	11
14	6173	6
29924	3053	21
23522	8736	13
14	1977	9
437	6908	5
30864	8733	4
131	4696	5
12252	3033	10
245	7786	2
146	9084	21
511	7996	10
142	3774	4
34825	8941	12
114	2133	9
14	9334	16
6581	6036	6
101	4176	5
16965	3216	8
14	4703	9
176	3178	5
147	4863	8
1314	9201	10
35022	652	11
1349	8516	18
10220	9989	24
59	6683	1
141	1460	9
103	6776	11
34795	7186	6
28357	9788	3
12	8658	12
142	8763	4
3591	8470	19
2287	4992	7
117	8243	4
14	9618	24
5949	4183	9
14	567	9
104	6163	1
12994	8259	10
9093	3921	1
102	3166	7
8780	5290	4
7414	2694	12
123	4743	3
183	3007	6
1391	2089	6
14	1755	23
103	4154	4
226	2304	24
4834	2447	11
3428	4357	12
38264	4247	4
13411	8996	5
166	7451	8
104	4689	14
238	5017	8
146	3291	9
120	7876	14
6993	8665	12
4371	9427	0
1658	202	2
377	6739	8
1573	1349	2
139	7780	15
115	881	5
22789	2592	2
103	9082	4
572	8455	14
14035	461	2
120	8911	3
5787	4678	7
10757	7616	4
12	3730	9
12	9277	3
170	8278	0
14	499	24
167	2423	28
10879	8253	9
115	4441	7
469	6527	5
20014	9494	9
6608	4698	7
12461	4267	1
27245	5214	4
800	4339	10
44377	1562	10
4682	3759	5
233	278	14
