5042	102	4	10.08
1551	1809	3	29.57
124	573	8	19.52
888	121	4	7.3
2031	140	3	11.39
1497	132	3	8.74
398	182	3	7.3
3395	104	4	8.35
103	1624	8	11.02
103	7849	3	8.32
118	229	29	73.64
101	114	250	10.05
4132	109	3	8.31
2046	104	6	9.24
3143	127	3	11.2
119	7221	3	18.44
101	227	43	15.99
471	1025	4	29.41
298	421	9	57.01
12	2168	8	11.15
8	2447	4	9.27
3481	103	5	13.87
512	119	6	10.29
4293	103	4	11.09
1632	246	4	27.15
243	1476	3	16.97
136	6074	3	21.86
5	1406	3	19.48
105	432	11	6.69
301	105	30	51.48
1632	103	7	8.92
102	3790	5	12.6
135	126	25	14.98
717	103	11	7.2
1025	120	4	8.15
1331	207	3	14.9
895	117	5	9.07
113	3123	3	8.73
2570	110	3	6.96
6372	103	3	8.32
114	1200	5	12.06
113	3019	3	8.73
751	313	3	15.29
12	3655	5	6.97
1145	108	5	7.34
103	1071	14	32.09
2528	12	7	9.76
123	546	5	7.01
1136	165	3	11.64
271	1796	4	28.08
7127	102	3	7.56
214	104	32	17.03
180	135	12	16.88
203	2157	3	18.21
4181	318	4	43.23
3760	12	5	6.97
1179	114	5	12.06
1697	123	4	12.05
1753	186	5	32.33
2574	9	3	6.7
543	12	28	39.1
103	6925	3	8.32
161	311	7	21.24
125	1621	4	11.63
275	114	13	17.68
144	788	3	7.1
1743	112	6	19.96
1284	140	6	28.85
2904	109	3	6.9
4463	114	3	12.67
250	212	5	14.87
2084	117	4	11.28
2380	115	3	6.84
951	554	3	20.06
1146	712	3	22.64
948	1632	8	97.9
3852	143	4	25.54
5447	113	4	22.22
2287	105	5	9.54
364	2485	3	23.53
806	103	11	10.48
102	2762	6	10.05
131	180	9	6.65
163	189	6	9.46
249	930	3	15.07
105	7569	3	11.5
8	4194	3	9.35
134	698	4	8.76
146	320	15	59.66
118	2773	4	13.63
57	1724	3	9.99
478	124	6	9.69
219	212	4	7.89
114	184	16	11.5
2133	194	4	28
1245	106	6	13
796	1348	4	34.56
347	255	3	9.01
110	3806	4	16.4
615	124	7	16.25
687	110	6	7.97
105	117	124	23.06
4420	101	4	8.05
119	2429	3	10.41
2787	110	3	6.96
975	106	6	8.54
6091	148	3	23.89
424	9	8	6.72
12	846	17	17.37
1869	125	5	19.8
3796	118	4	17.95
108	2394	4	8.76
142	506	4	8.06
104	2225	7	17.01
224	752	3	12.66
156	131	15	12.94
4887	104	4	12.91
1996	116	4	10.83
685	186	10	61.46
2500	118	4	13.63
125	1007	6	17.88
640	1680	4	35.53
9	314	10	7.13
3967	12	5	6.97
115	588	7	12.38
121	163	14	8.38
757	135	5	14.59
105	6748	3	11.5
4302	2885	4	62.95
513	328	3	13.3
718	146	5	16.19
245	132	7	9.34
384	2710	4	40.31
