104	4174	21
1024	5109	1
1585	8448	1
676	9485	7
14	7170	11
1944	8561	1
380	5257	8
9	2009	10
114	4577	7
135	3527	34
8	3896	3
885	5179	9
102	2733	2
435	5581	30
469	9984	6
885	5109	11
207	6066	13
126	8958	6
158	6065	21
3446	830	1
102	8194	8
2278	4114	13
17163	2590	7
1541	5160	12
2031	4668	2
101	778	14
102	208	32
8	6169	3
9	9832	40
121	4952	20
5743	2587	8
101	2796	11
8916	5943	23
9041	7288	6
143	2309	3
144	6470	11
252	6286	13
62	1998	11
837	9771	5
103	5256	23
114	8897	28
140	8025	8
258	5115	48
14	2523	38
5971	5658	18
111	869	15
23588	1901	14
129	2466	14
4029	9592	1
2964	6347	6
7160	5205	16
1518	8910	34
420	1688	32
231	2298	0
5605	124	3
1150	5042	0
101	8258	21
163	6129	8
239	2156	16
1163	6953	14
395	4291	15
2305	7113	1
14	6987	11
146	4298	15
131	2219	5
169	1227	0
585	9596	12
981	7233	16
452	1797	0
101	2220	9
106	6128	3
101	5583	6
139	8050	0
360	3249	18
5154	8654	0
107	5118	13
17694	8283	19
122	4925	6
141	8122	12
117	4064	9
14	7117	29
577	813	19
139	7605	0
170	7888	37
124	4048	0
653	931	14
4131	9679	0
582	1756	35
395	4512	5
103	3299	14
136	8657	5
101	175	16
1589	5046	10
718	9022	0
12	7718	15
4400	7783	23
103	8578	6
1380	6419	0
5009	3239	29
405	9784	15
15078	5320	7
150	9194	35
117	4391	12
2	1942	4
104	5157	9
113	7531	18
14	6249	23
104	1449	1
747	8494	12
12	3086	13
12	4461	2
108	3633	8
101	1312	4
253	4419	0
106	4445	11
115	7835	32
226	3139	5
435	2547	34
8	407	6
13922	8003	3
178	4859	17
103	9310	37
2259	8532	0
146	5417	1
126	5180	7
129	4068	30
4550	110	4
14	971	10
343	3180	5
102	9922	14
120	2582	1
9	4820	18
230	2555	23
5637	8954	15
125	9755	16
1943	5107	20
23586	357	4
660	3481	0
1671	6377	11
1137	9368	2
6992	8009	10
715	9884	7
258	2938	37
119	2674	7
1068	4471	0
8	9047	15
7	8010	21
154	8382	7
14	8381	40
110	214	12
101	9410	17
198	8495	4
14858	4133	15
125	8374	24
172	7755	30
115	5258	24
957	5468	11
19551	7986	2
102	6988	4
15255	3377	7
6140	4938	9
154	8669	13
132	9952	13
10698	9475	11
202	6081	2
102	6413	18
23479	5125	24
104	3392	20
155	1464	16
244	2138	2
110	8827	11
234	2106	16
14	2440	17
178	4732	19
192	1403	4
144	2948	5
165	4926	2
1909	521	15
101	7236	13
105	3713	12
143	9358	7
394	5096	27
3841	6198	5
518	8121	22
11557	3646	40
107	9880	6
207	8340	4
101	5403	51
122	2557	5
1970	6047	4
9	1175	12
2677	1879	8
21244	7935	19
131	4559	12
125	4147	29
108	7859	4
244	2361	8
3640	8770	14
134	3568	19
399	6280	23
239	2624	8
2426	7939	10
103	6155	10
14	2895	17
396	4449	1
115	3297	1
272	3279	3
133	8294	13
113	6634	2
857	5349	24
1327	1452	12
8721	5476	22
14871	300	33
406	2426	12
147	9387	8
21796	6653	7
550	1869	2
219	6569	17
2582	8999	14
273	8327	6
14	7659	22
18272	2985	3
1626	708	1
813	5498	20
693	1986	20
6428	235	0
12	3021	26
2188	5997	28
105	6882	11
1386	3055	9
879	7263	4
146	908	18
9176	6848	8
4104	9802	4
102	8905	9
6593	3259	18
220	3400	29
8507	2109	1
102	4811	14
14	7304	28
12289	5792	11
103	9927	7
147	5321	20
2944	6691	15
8	6165	2
14	591	25
3929	1440	24
304	5562	13
7294	5711	0
789	6421	2
112	5902	20
112	9961	15
525	9435	35
6456	491	0
1163	3879	7
101	4620	17
112	4288	22
369	266	16
969	563	24
117	4617	17
1049	9688	25
12	9322	6
8	1170	5
2172	1806	27
103	355	2
319	401	1
12	5030	3
1053	9348	9
136	6002	11
211	8278	18
276	9280	39
204	7597	12
18228	6955	18
106	6140	2
260	3455	13
3726	2209	15
289	7090	5
2398	1452	2
3233	1863	9
684	4829	5
125	3284	1
106	4567	28
584	138	11
251	2633	10
114	7398	9
314	5481	0
157	1675	32
1672	1865	25
2227	3141	0
1566	6251	20
161	1115	2
348	3878	3
216	6081	11
107	4304	16
107	8503	11
125	4308	4
147	8230	25
116	7109	8
10604	2816	20
101	9378	10
101	4747	19
116	5839	19
101	1324	5
170	7146	11
12	3020	14
330	5412	2
743	4051	18
2684	9217	27
2	433	27
103	683	18
101	520	11
8567	267	12
1048	3126	6
174	1523	31
272	9186	8
14	6287	26
14	1516	21
14	8001	24
1670	3630	5
118	7498	0
5180	9206	0
777	7595	8
4345	7559	2
170	2344	5
12	4655	5
8137	3655	14
420	9124	19
557	8432	9
135	5841	17
107	8669	7
11914	2045	0
14	4813	21
274	2593	4
748	5643	23
14	9444	12
1542	545	21
122	3768	4
102	2857	17
4521	2675	9
482	5815	26
140	7771	13
101	3972	6
255	5540	16
123	9374	11
102	9225	15
107	4284	10
16092	1624	15
906	1483	23
115	7654	10
106	3615	9
21036	3205	18
101	4262	31
132	2957	4
12	4042	28
4382	8148	1
18259	2516	20
135	7891	28
207	3226	7
107	6200	17
17018	8093	9
10353	5128	25
101	8172	6
260	4370	6
17656	3166	11
134	4121	11
385	1442	4
3387	9493	14
103	3878	11
124	4818	0
189	7406	10
1714	7418	9
2	9693	14
102	6373	27
120	5012	5
118	6659	0
2910	9486	0
12	2053	10
9035	4336	8
1455	7658	14
101	7240	12
3722	4903	9
103	2443	3
101	8042	16
138	3423	11
103	682	6
2022	7108	15
101	2253	6
177	6331	24
106	2802	3
152	53	2
128	3622	11
1855	9058	8
1390	8467	3
147	4394	26
485	8662	1
2257	3952	21
14	3881	24
142	5218	17
124	4117	0
9	853	15
204	3148	10
16	7050	15
14	2306	6
717	4528	20
599	14	18
109	2877	3
1346	8897	27
2416	7179	0
11428	1576	0
102	4930	8
111	5859	20
104	4429	4
252	7968	20
107	3261	27
423	4910	5
14	3027	45
223	2776	32
6309	4750	11
103	2566	15
101	8202	28
7136	2253	9
101	5667	5
102	4971	14
142	1635	21
825	9370	2
196	1759	6
113	8969	27
3836	1446	0
107	3441	1
105	361	16
119	822	7
438	8621	5
101	7846	10
12	7337	6
1428	4375	1
8	8498	10
20397	419	18
11586	4060	7
12	7500	26
768	6399	12
103	6190	13
102	6667	29
1737	3201	34
107	9140	3
358	698	9
334	8287	18
1737	3654	34
5043	4513	11
14	6752	8
1720	2109	16
14	4417	13
162	7739	2
19660	9461	10
9	3412	14
976	3105	4
14	7243	22
250	2423	26
166	5000	21
156	7934	14
103	1930	2
1075	899	20
101	8332	10
4037	5319	21
2529	3823	18
410	5266	29
